x,y,z,yaw,gear
8.516744,4.427628,-0.002412,-0.239181,1.000000
8.776823,4.364221,-0.001387,-0.239211,1.000000
8.950207,4.321946,-0.002361,-0.239221,1.000000
9.123597,4.279677,-0.002447,-0.239240,1.000000
9.296964,4.237403,-0.001979,-0.239261,1.000000
9.470341,4.195123,-0.002577,-0.239281,1.000000
9.643705,4.152845,-0.001757,-0.239269,1.000000
9.817060,4.110576,-0.002151,-0.239257,1.000000
9.990420,4.068300,-0.001758,-0.239251,1.000000
10.163779,4.026034,-0.002271,-0.239219,1.000000
10.337147,3.983762,-0.001831,-0.239219,1.000000
10.393359,4.089451,-0.002120,0.915456,1.000000
10.497474,4.229442,-0.001182,0.915467,1.000000
10.606246,4.370932,-0.002088,0.915485,1.000000
10.715002,4.512414,-0.001163,0.915477,1.000000
10.823770,4.653903,-0.001671,0.915496,1.000000
10.932518,4.795373,-0.002404,0.915499,1.000000
11.041279,4.936856,-0.001993,0.915507,1.000000
11.150040,5.078341,-0.001205,0.915516,1.000000
11.258800,5.219832,-0.001628,0.915519,1.000000
11.367564,5.361322,-0.002371,0.915527,1.000000
11.476318,5.502806,-0.001942,0.915540,1.000000
11.585071,5.644285,-0.002300,0.915576,1.000000
11.693813,5.785774,-0.001436,0.915572,1.000000
11.802574,5.927284,-0.001338,0.915599,1.000000
11.895602,5.876737,-0.002997,-0.459900,1.000000
12.053887,5.798116,-0.002242,-0.459326,1.000000
12.213853,5.719020,-0.001716,-0.459324,1.000000
12.373813,5.639914,-0.002218,-0.459338,1.000000
12.533786,5.560808,-0.001590,-0.459340,1.000000
12.693760,5.481704,-0.002499,-0.459345,1.000000
12.853728,5.402598,-0.002548,-0.459384,1.000000
13.013691,5.323487,-0.001364,-0.459414,1.000000
13.173663,5.244367,-0.002090,-0.459461,1.000000
13.333615,5.165244,-0.001867,-0.459507,1.000000
13.493567,5.086115,-0.002402,-0.459493,1.000000
13.653524,5.006989,-0.002695,-0.459551,1.000000
13.813473,4.927847,-0.001893,-0.459589,1.000000
13.973423,4.848698,-0.001813,-0.459627,1.000000
14.213355,4.729961,-0.001842,-0.459677,1.000000
14.373299,4.650807,-0.002154,-0.459704,1.000000
14.613227,4.532043,-0.002585,-0.459772,1.000000
14.773153,4.452877,-0.002401,-0.459786,1.000000
15.013048,4.334119,-0.002183,-0.459841,1.000000
15.172987,4.254934,-0.001626,-0.459854,1.000000
15.332914,4.175749,-0.001846,-0.459856,1.000000
15.492840,4.096559,-0.002181,-0.459874,1.000000
15.652764,4.017367,-0.001279,-0.459909,1.000000
15.812682,3.938174,-0.001604,-0.459924,1.000000
15.972596,3.858980,-0.002407,-0.459944,1.000000
16.132525,3.779775,-0.001875,-0.459938,1.000000
16.257502,3.717376,-0.002710,-0.464814,1.000000
16.130095,3.570194,-0.002178,-2.023335,1.000000
16.052068,3.409717,-0.001271,-2.023253,1.000000
15.974024,3.249224,-0.002247,-2.023235,1.000000
15.895993,3.088725,-0.002255,-2.023212,1.000000
15.817973,2.928228,-0.001337,-2.023140,1.000000
15.739977,2.767740,-0.001899,-2.023115,1.000000
15.661978,2.607246,-0.002084,-2.023076,1.000000
15.583983,2.446736,-0.001525,-2.023011,1.000000
15.506009,2.286244,-0.002321,-2.022948,1.000000
15.428033,2.125723,-0.001380,-2.022896,1.000000
15.350060,1.965206,-0.002309,-2.022833,1.000000
15.272092,1.804677,-0.002469,-2.022803,1.000000
15.194132,1.644146,-0.002690,-2.022755,1.000000
15.116184,1.483627,-0.002052,-2.022697,1.000000
14.999289,1.242844,-0.001596,-2.022643,1.000000
14.921353,1.082305,-0.001506,-2.022589,1.000000
14.843430,0.921750,-0.002534,-2.022536,1.000000
14.726567,0.680933,-0.001867,-2.022473,1.000000
14.609732,0.440116,-0.002364,-2.022411,1.000000
14.531848,0.279569,-0.002360,-2.022334,1.000000
14.453975,0.119006,-0.002054,-2.022257,1.000000
14.376096,-0.041566,-0.001895,-2.022173,1.000000
14.298252,-0.202140,-0.001833,-2.022126,1.000000
14.220401,-0.362721,-0.002479,-2.022080,1.000000
14.142559,-0.523309,-0.002800,-2.022018,1.000000
14.064733,-0.683895,-0.002049,-2.021969,1.000000
13.948016,-0.924760,-0.002287,-2.021905,1.000000
13.870204,-1.085356,-0.002222,-2.021867,1.000000
13.792406,-1.245935,-0.001822,-2.021836,1.000000
13.714615,-1.406535,-0.001953,-2.021799,1.000000
13.597932,-1.647445,-0.002015,-2.021759,1.000000
13.520148,-1.808043,-0.001804,-2.021719,1.000000
13.442359,-1.968661,-0.003186,-2.021651,1.000000
13.364590,-2.129274,-0.002084,-2.021579,1.000000
13.286836,-2.289893,-0.001846,-2.021491,1.000000
13.209098,-2.450521,-0.002008,-2.021440,1.000000
13.131363,-2.611160,-0.001938,-2.021382,1.000000
13.053644,-2.771788,-0.001948,-2.021321,1.000000
12.975914,-2.932434,-0.002813,-2.021293,1.000000
12.915400,-3.059507,-0.002390,-2.021070,1.000000
12.860871,-3.170369,-0.001808,-2.019282,1.000000
12.783492,-3.331153,-0.002162,-2.019212,1.000000
12.706118,-3.491947,-0.002087,-2.019176,1.000000
12.573066,-3.500039,-0.001297,-3.017427,1.000000
12.396004,-3.522138,-0.001792,-3.017430,1.000000
12.218947,-3.544237,-0.002152,-3.017433,1.000000
12.041887,-3.566336,-0.001264,-3.017433,1.000000
11.864815,-3.588436,-0.002124,-3.017439,1.000000
11.687744,-3.610535,-0.002035,-3.017444,1.000000
11.422129,-3.643684,-0.001506,-3.017451,1.000000
11.156527,-3.676829,-0.001414,-3.017455,1.000000
